Sector,Ticker,Company,Exchange,Price_24Apr2026,Price_20Oct2025,Yahoo_Finance_URL
Industrials,HON,Honeywell International,NASDAQ / USD,213.17,194.73,https://finance.yahoo.com/quote/HON/history/
Consumer,BYDDF,BYD Co. Ltd.,OTC / USD,99.46,102.9,https://finance.yahoo.com/quote/BYDDF/history/
Technology,MU,Micron Technology,NASDAQ / USD,496.72,198.47,https://finance.yahoo.com/quote/MU/history/
Healthcare,BBIO,BridgeBio Pharma,NASDAQ / USD,73.28,53.24,https://finance.yahoo.com/quote/BBIO/history/
Real Assets,WPM,Wheaton Precious Metals,NYSE / USD,139.44,97.13,https://finance.yahoo.com/quote/WPM/history/
Alternative Assets,NEM,Newmont Corporation,NYSE / USD,120.7,87.01,https://finance.yahoo.com/quote/NEM/history/
Financials,ALIZY,Allianz SE ADR,OTC ADR / USD,388,351.7,https://finance.yahoo.com/quote/ALIZY/history/
,,,,,Price_2Mar2026,
Industrials,ATEX,Anterix,NASDAQ / USD,45.17,37.2,https://stockanalysis.com/stocks/atex/history/
Consumer,PG,Procter & Gamble,NYSE / USD,148.18,163.51,https://stockanalysis.com/stocks/pg/history/
Technology,INOD,Innodata,NASDAQ / USD,42.34,44.46,https://stockanalysis.com/stocks/inod/history/
Healthcare,VRTX,Vertex Pharmaceuticals,NASDAQ / USD,430.29,486.03,https://stockanalysis.com/stocks/vrtx/history/
Real Assets,XOM,ExxonMobil,NYSE / USD,148.91,154.22,https://stockanalysis.com/stocks/xom/history/
Alternative Assets,FCX,Freeport-McMoRan,NYSE / USD,61.05,68.08,https://stockanalysis.com/stocks/fcx/history/
Financials,V,Visa,NYSE / USD,309.42,320.51,https://stockanalysis.com/stocks/v/history/
Benchmark,MSCI World Index,,,4609,4322.9,
